Language,Article Name (English),Article_Title,Article Link,Article Link,introductory_text,whole_text,Entity,Fame,Age Group,Gender,Role,Origin of Culture,Existence Type,Life Status,Era,Count,Pronoun/Verb in Written Setting
Hindi,Mahatma Gandhi,महात्मा गांधी,https://hi.wikipedia.org/wiki/महात्मा_गांधी,https://hi.wikipedia.org/wiki/महात्मा_गांधी,"मोहनदास करमचन्द गांधी (जन्म: 2 अक्टूबर 1869 -  निधन: 30 जनवरी 1948) जिन्हें महात्मा गांधी के नाम से भी जाना जाता है, भारत एवं भारतीय स्वतन्त्रता आन्दोलन के एक प्रमुख राजनैतिक एवं आध्यात्मिक नेता थे। वे सत्याग्रह (व्यापक सविनय अवज्ञा) के माध्यम से अत्याचार के प्रतिकार करने के समर्थक अग्रणी नेता थे, उनकी इस अवधारणा की नींव सम्पूर्ण अहिंसा के सिद्धान्त पर रखी गयी थी जिसने भारत सहित पूरे विश्व में जनता के नागरिक अधिकारों एवं स्वतन्त्रता के प्रति आन्दोलन के लिये प्रेरित किया। उन्हें संसार में साधारण जनता महात्मा गांधी के नाम से जानती है। संस्कृत भाषा में महात्मा अथवा 'महान आत्मा' एक सम्मान सूचक शब्द है। गांधी को महात्मा के नाम से सबसे पहले 1915 में राजवैद्य जीवराम कालिदास ने संबोधित किया था। एक अन्य मत के अनुसार स्वामी श्रद्धानन्द ने 1915 मे महात्मा की उपाधि दी थी। तीसरा मत ये है कि रवीन्द्रनाथ ठाकुर ने 12 अप्रैल 1919 को अपने एक लेख मे उन्हें महात्मा कहकर सम्बोधित किया था। । उन्हें बापू (गुजराती भाषा में બાપુ बापू अर्थात् पिता) के नाम से भी स्मरण किया जाता है। एक मत के अनुसार गांधीजी को बापू सम्बोधित करने वाले प्रथम व्यक्ति उनके साबरमती आश्रम के शिष्य थे सुभाष चन्द्र बोस ने 6 जुलाई 1944 को रंगून रेडियो से गांधी जी के नाम जारी प्रसारण में उन्हें राष्ट्रपिता कहकर सम्बोधित करते हुए आज़ाद हिन्द फौज के सैनिकों के लिये उनका आशीर्वाद और शुभकामनाएँ माँगीं थीं। प्रति वर्ष 2 अक्टूबर को उनका जन्म दिन भारत में गांधी जयन्ती के रूप में और पूरे विश्व में अन्तरराष्ट्रीय अहिंसा दिवस के रूप में मनाया जाता है।
सबसे पहले गान्धी जी ने प्रवासी वकील के रूप में दक्षिण अफ्रीका में भारतीय समुदाय के लोगों के नागरिक अधिकारों के लिये संघर्ष हेतु सत्याग्रह करना आरम्भ किया। 1915 में उनकी भारत वापसी हुई। उसके बाद उन्होंने यहाँ के किसानों, श्रमिकों और नगरीय श्रमिकों को अत्यधिक भूमि कर और भेदभाव के विरुद्ध आवाज उठाने के लिये एकजुट किया। 1921 में भारतीय राष्ट्रीय कांग्रेस की बागडोर संभालने के बाद उन्होंने देशभर में दरिद्रता से मुक्ति दिलाने, महिलाओं के अधिकारों का विस्तार, धार्मिक एवं जातीय एकता का निर्माण व आत्मनिर्भरता के लिये अस्पृश्‍यता के विरोध में अनेकों कार्यक्रम चलाये। इन सबमें विदेशी राज से मुक्ति दिलाने वाला स्वराज की प्राप्ति वाला कार्यक्रम ही प्रमुख था। गाँधी जी ने ब्रिटिश सरकार द्वारा भारतीयों पर लगाये गये लवण कर के विरोध में 1930 में नमक सत्याग्रह और इसके बाद 1942 में अंग्रेजो भारत छोड़ो आन्दोलन से विशेष विख्याति प्राप्त की। दक्षिण अफ्रीका और भारत में विभिन्न अवसरों पर कई वर्षों तक उन्हें कारागृह में भी रहना पड़ा। गांधी जी ने सभी परिस्थितियों में अहिंसा और सत्य का पालन किया और सभी को इनका पालन करने के लिये वकालत भी की। उन्होंने साबरमती आश्रम में अपना जीवन बिताया और परम्परागत भारतीय पोशाक धोती व सूत से बनी शाल पहनी जिसे वे स्वयं चरखे पर सूत कातकर हाथ से बनाते थे। उन्होंने सादा शाकाहारी भोजन खाया और आत्मशुद्धि के लिये लम्बे-लम्बे उपवास रखे। 12 फरवरी वर्ष 1948 में महात्मा गांधी के अस्थि कलश जिन 12 तटों पर विसर्जित किए गए थे, त्रिमोहिनी संगम भी उनमें से एक है |",,Human,Famous,Old,Male,Politics and Governance,Native,Real,Dead,Modern,Singular,Honorific
Hindi,Sania Mirza,सानिया मिर्ज़ा,https://hi.wikipedia.org/wiki/सानिया_मिर्ज़ा,https://hi.wikipedia.org/wiki/सानिया_मिर्ज़ा,"सानिया मिर्ज़ा  (उर्दू: ثانیہ مرزا, तेलुगू: సాన్యా మీర్జా, जन्म: 15 नवम्बर 1986, मुंबई ,महाराष्ट्र) भारत की एक टेनिस खिलाड़ी हैं। 2003 से 2013 में लगातार एक दशक तक उन्होने महिला टेनिस संघ (डब्ल्यू टी ए) के एकल और डबल में शीर्ष भारतीय टेनिस खिलाड़ी के रूप में अपना स्थान बनाए रखने में सफल रही और उसके बाद एकल प्रतियोगिता से उनकी सेवानिवृत्ति के बाद शीर्ष स्थान पर अंकिता रैना विराजमान हुई। मात्र 18 वर्ष की आयु में वैश्विक स्तर पर चर्चित होने वाली इस खिलाड़ी को 2006 में 'पद्मश्री' सम्मान प्रदान किया गया। वे यह सम्मान पाने वाली सबसे कम उम्र की खिलाड़ी है। उन्हें 2006 में अमेरिका में विश्व की टेनिस की दिग्गज हस्तियों के बीच डब्लूटीए का 'मोस्ट इम्प्रेसिव न्यू कमर एवार्ड' प्रदान किया गया था। उन्होंने चार ओलंपिक में भाग लिया - 2008 बीजिंग, 2012 लंदन, 2016 रियो और 2020 टोक्यो में|
अपने कॅरियर की शुरुआत उन्होंने 1999 में विश्व जूनियर टेनिस चैम्पियनशिप में हिस्सा लेकर किया। इसके बाद उन्होंने कई अंतररार्ष्ट्रीय मैचों में हिस्सा लिया और सफलता भी पाई। 2003 उनके जीवन का सबसे रोचक मोड़ बना जब भारत की तरफ से वाइल्ड कार्ड एंट्री करने के बाद सानिया मिर्ज़ा ने विम्बलडन में डबल्स के दौरान जीत हासिल की। वर्ष 2004 में बेहतर प्रदर्शन के लिए उन्हें 2005 में अर्जुन पुरस्कार से सम्मानित किया गया। 2005 के अंत में उनकी अंतरराष्ट्रीय रैंकिंग 42 हो चुकी थी जो किसी भी भारतीय टेनिस खिलाड़ी के लिए सबसे ज्यादा थी। 2009 में वह भारत की तरफ से ग्रैंड स्लैम जीतने वाली पहली महिला खिलाड़ी बनीं।
सानिया के पिता इमरान मिर्ज़ा एक खेल संवाददाता थे। कुछ समय के बाद उन्हें हैदराबाद जाना पड़ा जहां एक पारंपरिक शिया खानदान के रूप में सानिया का बचपन गुजरा। निज़ाम क्लब हैदराबाद में सानिया ने छ्ह साल की उम्र से टेनिस खेलना शुरु किया था। महेश भूपति के पिता सीके भूपति से सानिया ने अपनी शुरुआती कोचिंग ली। अक्टूबर 2005 में टाइम पत्रिका के द्वारा सानिया को एशिया के 50 नायकों में नामित किया गया था। मार्च 2010 में नवभारत टाइम्स समाचार पत्र के द्वारा उन्हें भारत की गौरवान्वित 33 महिलाओं की सूची में नामित किया गया। वर्तमान में, वे नवगठित भारतीय राज्य तेलंगाना की 'ब्रांड एंबेसडर' हैं।
सान्या ने अपने करियर का आखिरी मैच फरवरी 2023 में दुबई ड्यूटी फ्री टेनिस चैंपियनशिप में खेला था। 20 साल के करियर में, वह छह बार ग्रैंड स्लैम युगल विजेता रहीं।","सानिया मिर्ज़ा  (उर्दू: ثانیہ مرزا, तेलुगू: సాన్యా మీర్జా, जन्म: 15 नवम्बर 1986, मुंबई ,महाराष्ट्र) भारत की एक टेनिस खिलाड़ी हैं। 2003 से 2013 में लगातार एक दशक तक उन्होने महिला टेनिस संघ (डब्ल्यू टी ए) के एकल और डबल में शीर्ष भारतीय टेनिस खिलाड़ी के रूप में अपना स्थान बनाए रखने में सफल रही और उसके बाद एकल प्रतियोगिता से उनकी सेवानिवृत्ति के बाद शीर्ष स्थान पर अंकिता रैना विराजमान हुई। मात्र 18 वर्ष की आयु में वैश्विक स्तर पर चर्चित होने वाली इस खिलाड़ी को 2006 में 'पद्मश्री' सम्मान प्रदान किया गया। वे यह सम्मान पाने वाली सबसे कम उम्र की खिलाड़ी है। उन्हें 2006 में अमेरिका में विश्व की टेनिस की दिग्गज हस्तियों के बीच डब्लूटीए का 'मोस्ट इम्प्रेसिव न्यू कमर एवार्ड' प्रदान किया गया था। उन्होंने चार ओलंपिक में भाग लिया - 2008 बीजिंग, 2012 लंदन, 2016 रियो और 2020 टोक्यो में|
अपने कॅरियर की शुरुआत उन्होंने 1999 में विश्व जूनियर टेनिस चैम्पियनशिप में हिस्सा लेकर किया। इसके बाद उन्होंने कई अंतररार्ष्ट्रीय मैचों में हिस्सा लिया और सफलता भी पाई। 2003 उनके जीवन का सबसे रोचक मोड़ बना जब भारत की तरफ से वाइल्ड कार्ड एंट्री करने के बाद सानिया मिर्ज़ा ने विम्बलडन में डबल्स के दौरान जीत हासिल की। वर्ष 2004 में बेहतर प्रदर्शन के लिए उन्हें 2005 में अर्जुन पुरस्कार से सम्मानित किया गया। 2005 के अंत में उनकी अंतरराष्ट्रीय रैंकिंग 42 हो चुकी थी जो किसी भी भारतीय टेनिस खिलाड़ी के लिए सबसे ज्यादा थी। 2009 में वह भारत की तरफ से ग्रैंड स्लैम जीतने वाली पहली महिला खिलाड़ी बनीं।
सानिया के पिता इमरान मिर्ज़ा एक खेल संवाददाता थे। कुछ समय के बाद उन्हें हैदराबाद जाना पड़ा जहां एक पारंपरिक शिया खानदान के रूप में सानिया का बचपन गुजरा। निज़ाम क्लब हैदराबाद में सानिया ने छ्ह साल की उम्र से टेनिस खेलना शुरु किया था। महेश भूपति के पिता सीके भूपति से सानिया ने अपनी शुरुआती कोचिंग ली। अक्टूबर 2005 में टाइम पत्रिका के द्वारा सानिया को एशिया के 50 नायकों में नामित किया गया था। मार्च 2010 में नवभारत टाइम्स समाचार पत्र के द्वारा उन्हें भारत की गौरवान्वित 33 महिलाओं की सूची में नामित किया गया। वर्तमान में, वे नवगठित भारतीय राज्य तेलंगाना की 'ब्रांड एंबेसडर' हैं।
सान्या ने अपने करियर का आखिरी मैच फरवरी 2023 में दुबई ड्यूटी फ्री टेनिस चैंपियनशिप में खेला था। 20 साल के करियर में, वह छह बार ग्रैंड स्लैम युगल विजेता रहीं।


प्रारंभिक जीवन
सानिया का जन्म 15 नवम्बर 1986 को मुंबई में हुआ। उनकी प्रारंभिक शिक्षा हैदराबाद के एन ए एस आर स्कूल में हुई, तत्पश्चात उन्होंने हैदराबाद के ही सेंट मैरी कॉलेज से स्नातक किया। उन्हें 11 दिसम्बर 2008 को चेन्नई में एम जी आर शैक्षिक और अनुसंधान संस्थान विश्वविद्यालय से डॉक्टरेट की मानद उपाधि प्राप्त हुई।
उनके पिता इमरान मिर्ज़ा एक खेल संवाददाता थे तथा माँ नसीमा मुंबई में प्रिंटिंग व्यवसाय से जुड़ी एक कंपनी में काम करती थीं। कुछ समय के बाद उन्हें और छोटी बहन 'अनम' को हैदराबाद जाना पड़ा जहां एक पारंपरिक शिया खानदान के रूप सानिया का बचपन गुजरा। पिता के सहयोग और अपने दृढ़ संकल्प के सहारे वह आगे बढ़ती चली गई। हैदराबाद के निज़ाम क्लब में सानिया ने छ्ह साल की उम्र से टेनिस खेलना शुरु किया। उन्होने छह वर्ष की उम्र में टेनिस खेलना शुरू किया।
उनके पिता के पास इतने पैसे नहीं थे जो उन्हें पेशेवर ट्रेनिंग दिलवा सकें। इसके लिए उनके पिता ने कुछ बड़े व्यापारिक समुदायों से स्पान्सर्शिप ली, जिसमें प्रमुख हैं जीवेके इंड्रस्ट्रीज और एडीडास। इन दोनों कंपनियों ने उन्हें 12 साल की उम्र से ही स्पान्सर करना शुरु कर दिया। उसके बाद उनके पिता ने उनकी ट्रेनिंग का जिम्मा लिया। महेश भूपति के पिता सी. के. भूपति की देखरेख में उसकी टेनिस शिक्षा की शुरुआत हुई। हैदराबाद के निज़ाम क्लब से शुरुआत करने के बाद वह अमेरिका की एस टेनिस एक्रेडेमी गई। 1999 में उसने जूनियर स्तर पर पहली बार भारत का प्रतिनिधित्व किया। सानिया जब 14 वर्ष की भी नहीं थी तब उसने पहला आई.टी.एफ. जूनियर टूर्नामेंट इस्लामाबाद में खेला था। 2002 में भारत के शीर्ष टेनिस खिलाड़ी लिएंडर पेस ने बुसान एशियाड के पूर्व 16 वर्षीय सानिया को खेलते देखा और निश्चय किया कि वह सानिया मिर्ज़ा के साथ डबल्स में उतरेंगे। फिर उन्होने इस देश को कांस्य पदक दिलाया। उसके बाद सानिया ने 17 वर्ष की उम्र में विंबलडन का जूनियर डबल्स चैंपियनशिप खिताब जीता था।


पारिवारिक जीवन
सानिया का परिवार खेलों से जुड़ा रहा है। उन्हें शीर्ष की ओर ले जाने में उनकी पारिवारिक पृष्ठभूमि का महत्वपूर्ण योगदान है। उनके पिता इमरान मिर्ज़ा प्रख्यात क्रिकेट खिलाड़ी ग़ुलाम अहमद के रिश्ते के भाई हैं और वे स्वयं भी हैदराबाद सीनियर डिवीज़न लीग के खिलाड़ी रह चुके हैं। सानिया के मामा फैयाज़ हैदराबाद रणजी टीम में विकेट कीपर रह चुके हैं। उनके परिवार ने उन्हें आगे बढ़ाने में अथक मेहनत की है। उनके अभ्यासों के दौरान कभी उनकी माँ नसीमा तो कभी पिता इमरान मिर्ज़ा साथ रहते हैं।
भारतीय पूर्व टेनिस स्टार सानिया मिर्जा के पति पाकिस्तानी क्रिकेटर शोएब मलिक ने दूसरी शादी कर ली है। उन्होंने एक पाकिस्तानी टीवी एक्ट्रेस से शादी की है, अब तक सानिया और शोएब का तलाक नहीं हुआ है लेकिन काफी समय से दोनों अलग रह रहे हैं।


व्यक्तिगत जीवन और विवाद

व्यक्तिगत जीवन में सानिया का विवादों से गहरा नाता रहा है। मुस्लिम परिवार से होने के कारण वर्ष 2005 में एक मुस्लिम समुदाय ने उनके खेलने के विरुद्ध फ़तवा तक जारी कर दिया था। उसके आरोपों-प्रत्यारोपों का सिलसिला चला और आखिरकार 'जमात-ए-इस्लामी हिन्द' नामक संगठन ने कहा कि उन्हें उनके खेलने से परहेज नहीं है, बल्कि वे चाहते हैं कि वे खेलते समय ड्रेस कोड का ध्यान रखें।
वर्ष 2009 में सानिया की सगाई उनके बचपन के दोस्त सोहराब मिर्जा से हुई, लेकिन सगाई शीघ्र ही टूट गई और वे पाकिस्तानी क्रिकेटर शोएब मलिक के साथ दिखने लगी। सानिया ने एक बयान में कहा, कि 'हम कई सालों से दोस्त हैं लेकिन मंगेतर की हैसियत से हम दोनों के बीच बात नहीं बनी। मैं सोहराब को उसकी ज़िंदगी के लिए शुभकामनाएं देती हूं।' कुछ माह पश्चात अर्थात 12 अप्रैल 2010 को उन्होने शोएब मलिक के साथ निकाह रचाया। इस निकाह को लेकर उन्हें कई लोगों से कड़ी प्रतिक्रियाएं भी मिली लेकिन उन्होंने किसी की परवाह नहीं की और हर मोर्चे पर अपने पति का साथ दिया।
वर्ष 2014 में नवगठित भारतीय राज्य तेलंगाना के ब्रांड एम्बेसेडर बनाए जाने पर सानिया फिर विवादों में घिरी, जब तेलंगाना विधानसभा में भाजपा नेता के॰ लक्ष्मण ने उन्हे 'पाकिस्तान की बहू' क़रार दिया और उन्हें यह सम्मान दिए जाने पर सवाल उठाया।
सोशल मीडिया पर पक्ष-प्रतिपक्ष में काफी बहस हुई। इंडियन एक्सप्रेस अख़बार ने एक तस्वीर ट्वीट किया जिसपर लिखा था 'मैं सानिया मिर्ज़ा हूँ और मैं परदेसी नहीं हूँ।' यहाँ तक कि दुखी सानिया ने अपने फ़ेसबुक पन्ने पर अपनी पांच पीढ़ियों का हिसाब भी लिख डाला और अपने को भारतीय होने का प्रमाण दिया।
एनडीटीवी को दिए एक इंटरव्यू के दौरान सानिया ने कहा, कि 'कल मैं बहुत उदास थी। मुझे नहीं पता कि यह सब किसी और देश में होता है या नहीं।' सानिया ने स्वयं को भारतीय होने का प्रमाण देती हुई कही कि 'यह मेरे लिए बहुत आहत करने वाला था कि मुझे अपनी भारतीयता को साबित करना पड़ता है, बार-बार बताना पड़ता है कि मैं भारतीय हूं। यह बिल्कुल अनफेयर है। देश के लिए इतने साल तक खेलने के बाद, देश के लिए मेडल जीतने के बाद, बार-बार यह बताने के बाद कि मेरे पास भारतीय पासपोर्ट है।'


करियर

सानिया ने अपने करियर की शुरुआत 1999 में विश्व जूनियर टेनिस चैम्पियनशिप में हिस्सा लेकर की। उसके बाद उन्होंने कई अंतर्राष्ट्रीय मैचों में शिरकत की और सफलता भी पाई। सानिया मिर्जा ने 16 साल की उम्र में हैदराबाद में 2002 के भारत के राष्ट्रीय खेलों में टेनिस में महिलाओं का स्वर्ण पदक जीता। वर्ष 2003 उनके जीवन का सबसे रोचक मोड़ बना जब भारत की तरफ से वाइल्ड कार्ड एंट्री करने के बाद उन्होंने विम्बलडन में डबल्स के दौरान जीत हासिल की। वर्ष 2004 में बेहतर प्रदर्शन के कारण उन्हें 2005 में अर्जुन पुरस्कार से सम्मानित किया गया।
वर्ष 2005 के अंत में उनकी अंतरराष्ट्रीय रैंकिंग 42 हो चुकी थी जो किसी भी भारतीय टेनिस खिलाड़ी के लिए सबसे ज्यादा थी। मई, 2006 में पाँचवीं वरीयता प्राप्त सानिया मिर्ज़ा को 2 लाख अमेरिकी डालर वाली इंस्ताबुल कप टेनिस के दूसरे ही राउंड में हार का मुँह देखना पड़ा। दिसम्बर 2006 में दोहा में हुए एशियाई खेलों में उन्होंने लिएंडर पेस के साथ मिश्रित युगल का स्वर्ण पदक जीता। महिलाओं के एकल मुक़ाबले में दोहा एशियाई खेलों में उन्होंने रजत पदक जीता। महिला टीम का रजत पदक भी भारतीय टेनिस टीम के नाम रहा- जिसमें उनके अतिरिक्त शिखा ओबेरॉय, अंकिता मंजरी और ईशा लखानी थीं। वर्ष 2009 में वे भारत की तरफ से ग्रैंड स्लैम जीतने वाली पहली महिला खिलाड़ी बनीं। विबंलडन का यह खिताब जीत कर उन्होंने इतिहास रच डाला। वे आस्ट्रेलियन ओपन में हंगरी की पेत्रा मैंडुला को हराने के साथ ही किसी ग्रैंड स्लैम टूर्नामेंट के तीसरे राउंड में पहुँचने वाली भारत की पहली महिला खिलाड़ी बन गईं।


प्रतिभागिता


उपलबधिपूर्ण मुक़ाबले


महिला युगल: 1 (0–1)


मिश्रित युगल: 4 (2–2)


कनिष्ठ प्रतिस्पर्द्धा
सानिया जूनियर खिलाड़ी के रूप में 10 एकल और 13 युगल खिताब जीतने में सफल रही है। उन्होने एलिसा लेबनोवा के साथ साझेदारी करके 2003 विंबलडन चैंपियनशिप के बालिका डबल्स का खिताब जीता। वे जहां साना भांबरी के साथ मिलकर 2003 फ्रेंच ओपन के बालिका डबल्स के सेमीफाइनल तक पहुँच सफल रही, वहीं ईशा लखानी के साथ मिलकर 2002 अमेरिकी ओपन में बालिका डबल्स के क्वार्टर फाइनल तक पहुँचने में कामयाब हुई थी। 


बालिका डबल्स: 1 (1–0)


सामाजिक योगदान
सानिया ने ""सानिया मिर्जा टेनिस अकादमी"" की स्थापना की है, जो भारतीय टेनिस खिलाड़ियों के लिए विश्व स्तर की टेनिस प्रशिक्षण प्रदान करने के उद्देश्य से मार्च 2013 में शुरू किया गया था। इस अकादमी द्वारा भारत के भविष्य को रोशन करने वाली उपयोगी ग्रामीण प्रतिभाओं को पहचानकर चयनित करते हुये स्वयं के खर्च पर प्रशिक्षित किया जाता है। 


ब्रांड एम्बेसडर
22 जुलाई 2014 को भारत की इस नंबर एक महिला टेनिस खिलाड़ी को नवगठित तेलंगाना राज्य की ब्रांड एम्बेसडर बनाया गया। तेलंगाना के मुख्यमंत्री के॰ चंद्रशेखर राव ने उदयोगपतियों के साथ बातचीत सत्र के दौरान सानिया को नियुक्ति पत्र और एक करोड़ रूपये का चेक प्रदान किया। इस अवसर पर उन्होंने कहा ""तेलंगाना को सानिया पर गर्व है जो एक सच्ची हैदराबादी हैं। वह अंतरराष्ट्रीय टेनिस में पांचवें नंबर पर है और हम दुआ करते हैं कि वह नंबर वन बने।""


पुरस्कार

2004 में, सानिया को भारत सरकार द्वारा अर्जुन पुरस्कार से सम्मानित किया गया। 2006 में, उन्हें पद्म श्री से सम्मानित किया गया, जो एक टेनिस खिलाड़ी के रूप में उनकी उपलब्धियों के लिए भारत का चौथा सर्वोच्च सम्मान है।

अर्जुन पुरस्कार (2004)
वर्ष के नव आगंतुक का डब्ल्यूटीए पुरस्कार (2005)
पद्म श्री (2006)
खेलों में उत्कृष्टता के लिए हैंदराबाद महिला दशक एचीवर्स अवार्ड (2014)
चेन्नई में एम जी आर शैक्षिक और अनुसंधान संस्थान विश्वविद्यालय से डॉक्टरेट की मानद उपाधि (11 दिसम्बर 2008)


इन्हें भी देखें
एना कोर्निकोवा
हरमनप्रीत कौर
मारिया शरापोवा


सन्दर्भ


बाहरी कड़ियाँ

महिला टेनिस संघ में सानिया मिर्जा
फेड कप में सानिया मिर्जा
अंतरराष्ट्रीय टेनिस महासंघ में सानिया मिर्जा
अंतरराष्ट्रीय टेनिस महासंघ के जूनियर प्रोफ़ाइल में सानिया मिर्जा",Human,Famous,Adult,Female,Sports,Native,Real,Alive,Modern,Singular,Honorific
Hindi,Laika the Dog,लाइका,https://hi.wikipedia.org/wiki/लाइका,https://hi.wikipedia.org/wiki/लाइका,"लाइका ( रूसी: Лайка; 1954 - 3 नवंबर 1957) एक सोवियत अंतरिक्ष कुत्ता था जो अंतरिक्ष में पहले जानवरों में से एक बन गया, और पृथ्वी की परिक्रमा करने वाला यह पहला जानवर था। मॉस्को की सड़कों से भटकने वाली लाइका को सोवियत अंतरिक्ष यान स्पुतनिक 2 के रहने के लिए चुना गया था जिसे 3 नवंबर 1957 को बाहरी अंतरिक्ष में लॉन्च किया गया था। 
लाइका के मिशन के समय जीवित प्राणियों पर अंतरिक्ष उड़ान के प्रभाव के बारे में बहुत कम जानकारी थी, और डे-ऑर्बिट की तकनीक तब तक विकसित नहीं हुई थी। इसलिए लाइका के जीवित रहने की उम्मीद कभी नहीं की गई थी। कुछ वैज्ञानिकों का मानना था कि मनुष्य प्रक्षेपण या अंतरिक्ष की स्थितियों से बचने में असमर्थ होगा, इसलिए इंजीनियरों ने जानवरों की उड़ान को भविष्य में होने वाले मानव मिशन के लिए आवश्यक अग्रदूत के रूप देखा। यह प्रयोग यह साबित करने के लिए किया गया था कि एक जीवित यात्री को कक्षा में लॉन्च किया जा सकता है और वह एक माइक्रो-ग्रैविटी पर्यावरण को सहन कर सकता है। इससे भविष्य की मानव अंतरिक्ष यात्रा के लिए मार्ग प्रशस्त होता है और वैज्ञानिकों को इस बात पर पहली बार कोई सूचना प्रदान करता है कि जीवित प्राणी स्पेसफ्लाइट वातावरण में कैसे प्रतिक्रिया करते हैं। 
लाइका की अतिताप (ओवर्हीटिंग) से घंटे के भीतर मृत्यु हो गई, संभवतः केंद्रीय  आर-7 निर्वाहक की पेलोड से अलग होने में विफलता के कारण। उसकी मृत्यु का सही कारण और समय 2002 तक सार्वजनिक नहीं किया गया था; इसके बजाय, यह व्यापक रूप से बताया गया था कि जब उसकी ऑक्सीजन छह दिन की थी, तब उसकी मृत्यु हो गई थी, जैसा कि सोवियत सरकार ने शुरू में दावा किया था, वह ऑक्सीजन की कमी से पहले से ही मर चुकी थी। 
11 अप्रैल 2008 को, रूसी अधिकारियों ने लाइका के लिए एक स्मारक का अनावरण किया। उसके सम्मान में मास्को में एक छोटा सा स्मारक उस सैन्य अनुसंधान सुविधा के पास बनाया गया था, जहाँ लाइका को अंतरिक्ष में जाने के लिए तैयार किया था। इसने एक रॉकेट के ऊपर खड़े एक कुत्ते को चित्रित किया। वह मॉन्यूमेंट ऑन द कॉन्करर्स ऑफ स्पेस ऑफ मॉस्को में भी दिखाई देती है।","लाइका ( रूसी: Лайка; 1954 - 3 नवंबर 1957) एक सोवियत अंतरिक्ष कुत्ता था जो अंतरिक्ष में पहले जानवरों में से एक बन गया, और पृथ्वी की परिक्रमा करने वाला यह पहला जानवर था। मॉस्को की सड़कों से भटकने वाली लाइका को सोवियत अंतरिक्ष यान स्पुतनिक 2 के रहने के लिए चुना गया था जिसे 3 नवंबर 1957 को बाहरी अंतरिक्ष में लॉन्च किया गया था। 
लाइका के मिशन के समय जीवित प्राणियों पर अंतरिक्ष उड़ान के प्रभाव के बारे में बहुत कम जानकारी थी, और डे-ऑर्बिट की तकनीक तब तक विकसित नहीं हुई थी। इसलिए लाइका के जीवित रहने की उम्मीद कभी नहीं की गई थी। कुछ वैज्ञानिकों का मानना था कि मनुष्य प्रक्षेपण या अंतरिक्ष की स्थितियों से बचने में असमर्थ होगा, इसलिए इंजीनियरों ने जानवरों की उड़ान को भविष्य में होने वाले मानव मिशन के लिए आवश्यक अग्रदूत के रूप देखा। यह प्रयोग यह साबित करने के लिए किया गया था कि एक जीवित यात्री को कक्षा में लॉन्च किया जा सकता है और वह एक माइक्रो-ग्रैविटी पर्यावरण को सहन कर सकता है। इससे भविष्य की मानव अंतरिक्ष यात्रा के लिए मार्ग प्रशस्त होता है और वैज्ञानिकों को इस बात पर पहली बार कोई सूचना प्रदान करता है कि जीवित प्राणी स्पेसफ्लाइट वातावरण में कैसे प्रतिक्रिया करते हैं। 
लाइका की अतिताप (ओवर्हीटिंग) से घंटे के भीतर मृत्यु हो गई, संभवतः केंद्रीय  आर-7 निर्वाहक की पेलोड से अलग होने में विफलता के कारण। उसकी मृत्यु का सही कारण और समय 2002 तक सार्वजनिक नहीं किया गया था; इसके बजाय, यह व्यापक रूप से बताया गया था कि जब उसकी ऑक्सीजन छह दिन की थी, तब उसकी मृत्यु हो गई थी, जैसा कि सोवियत सरकार ने शुरू में दावा किया था, वह ऑक्सीजन की कमी से पहले से ही मर चुकी थी। 
11 अप्रैल 2008 को, रूसी अधिकारियों ने लाइका के लिए एक स्मारक का अनावरण किया। उसके सम्मान में मास्को में एक छोटा सा स्मारक उस सैन्य अनुसंधान सुविधा के पास बनाया गया था, जहाँ लाइका को अंतरिक्ष में जाने के लिए तैयार किया था। इसने एक रॉकेट के ऊपर खड़े एक कुत्ते को चित्रित किया। वह मॉन्यूमेंट ऑन द कॉन्करर्स ऑफ स्पेस ऑफ मॉस्को में भी दिखाई देती है। 


संदर्भ


ग्रन्थसूची


आगे की पढाई
एंगलिस, सारा और उत्तरले, कॉलिन। डॉक में विज्ञान: वह आदमी जिसने अंतरिक्ष कुत्तों को प्रशिक्षित किया । 28 जनवरी, 2005 को लिया गया।
डब, क्रिस और बर्गेस, कॉलिन । अंतरिक्ष में पशु: अनुसंधान रॉकेट से अंतरिक्ष शटल, 2007 तक।


बाहरी कड़ियाँ
स्पुतनिक मिशनों का इतिहास
अंतरिक्ष यात्री पर स्पुतनिक 2",Animal,Famous,Adult,Female,Science and Technology,Exotic,Real,Dead,Modern,Singular,Non-Honorific
