Language,Article_Title,Article_Text,Entity,Fame,Age Group,Gender,Role,Origin of Culture,Existence Type,Life Status,Era,Count,Pronoun/Verb in Wiki Article,Pronoun/Verb in Written Setting,Pronoun/Verb in Spoken Setting
Hindi,द्विविद,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,नजीब अहमद की गुमशुदगी,"नजीब अहमद''', जवाहरलाल नेहरू विश्वविद्यालय (JNU - जेएनयू) का एक लापता विद्यार्थी है। वह 15 अक्तूबर 2016 के बाद कैंपस से गुम हो गया है। वह एमएससी बायोटैकनॉलजी के पहले साल का विद्यार्थी है। 14 अक्टूबर 2016 को उसके और दक्षिणपंथी एबीवीपी के बीच झगड़ा हुआ। जवाहरलाल नेहरू विश्वविद्यालय अध्यापक संघ (JNUTA - जेएनयूटीए) ने प्रशासन को इस मुद्दे के प्रति बेरुख़ी और पक्षपाती प्रबंधन के लिए ज़िम्मेदार ठहराया है। जेएनयू अध्यापक संघ ने यूनिवर्सिटी द्वारा जारी की गई 25-बिन्दु बुलेटिन की भी आलोचना की है कि वह जानबूझकर यह तथ्य छोड़ दिया है कि एक रात पहले हुए झगड़े के दौरान अहमद पर हमला किया गया था। नजीब अहमद की माँ फ़ातिमा नफ़ीस ने जेएनयू के प्रशासन पर यह आरोप लगाया है कि वे असंवेदनशील हैं। प्रदर्शन में, जेएनयू विद्यार्थियों ने जेएनयूटीइए प्रशासनी इमारत को 20 घंटे घेरी रखा। नजीब के माँ-बाप की सिकायत के आधार पर वसंत कुंज पुलिस ने एक अगवा और ग़लत क़ैद कर रखने के लिए एफ़आईआर दायर की है। यह ख़बर फैल चुकी है कि नजीब के जीवन का अंत करने की एक कोशिश की गई है। यह भी ख़बर है कि हो सकता नजीब किसी छोटे से शहर में गुप्त तौर पर रहने के लिए चला गया हो। नजीब अहमद का केस दिल्ली हाईकोर्ट ने सी.बी.आई. (CBI) को सौंप दिया है। अदालत ने केस सी.बी.आई. को सोपंते हुए विशेष निर्देश दिए की केस की जांच की अगुआई कम से कम डी.आई.जी. रैंक के अधिकारी द्वारा की जानी चाहिए। दिल्ली हाईकोर्ट ने यह आदेश नजीब अहमद की मान श्रीमती फातिमा नफीस द्वारा लगाई गई याचिका पर दिया है। https://web.archive.org/web/20170516210105/https://khabar.ndtv.com/news/india/delhi-high-court-jnu-najeeb-ahmed-cbi-1694228 दिल्ली पुलिस नजीब के ठिकाने के बारे में जानकारी देने के लिए 100,000 रुपये के इनाम का ऐलान किया है। दिल्ली पुलिस की एक ख़ास परीक्षक टीम (ऐस.आई.टी.) इस केस की पड़ताल कर रहा है। नजीब अहमद के हॉस्टल कमरों में मिले नुस्ख़ों से पता चलता है कि यह जेएनयू विद्यार्थी का लापता होने से पहले डिप्रेशन और ऑब्सैसिव-कम्पलसिव विकार (ओसीडी) के लिए इलाज किया जा रहा था।",Human,Controversial,Adult,Male,Education and Academia,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,अलक्ष्मी,"अलक्ष्मी''', लक्ष्मी की बड़ी बहन हैं। समुद्रमंथन के समय कालकूट के बाद इनका प्रादुर्भाव हुआ। यह वृद्धा थी और इसके केश पीले, आंखें लाल तथा मुख काला था। देवताओं ने इसे वरदान दिया कि जिस घर में कलह हो, वहीं तुम रहो। हड्डी, कोयला, केश तथा भूसी में वास करो। कठोर असत्यवादी, बिना हाथ मुँह धोए और संध्या समय भोजन करनेवालों तथा अभक्ष्य-भक्षियों को तुम दरिद्र बना दो। लक्ष्मी से पूर्व इसका आविर्भाव हुआ था अत: विष्णु से लक्ष्मी का विवाह होने के पूर्व इसका ज्येष्ठा का विवाह उद्दालक ऋषि से करना पड़ा (पद्मपुराण, ब्रह्मखंड)। लिंगपुराण (२-६) के अनुसार अलक्षमी का विवाह दु:सह नामक ब्राह्मण से हुआ और उसके पाताल चले जाने के बाद यहाँ अकेली रह गई। सनत्सुजात संहिता के कार्तिक माहात्म्य में लिखा है कि पति द्वारा परित्यक्त होने पर यह पीपल वृक्ष के नीचे रहने लगीं। वहीं हर शनिवार को लक्ष्मी इससे मिलने आती हैं। अत: शनिवार को पीपल लक्ष्मीप्रद तथा अन्य दिन स्पर्श करने पर दारिद्रय देनेवाला माना जाता है। श्रेणी:पौराणिक पात्र",Deity,In Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Non-Honorific
Hindi,तृणावर्त,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,दुर्मुख,"दुर्मुख''' रामचन्द्र जी का एक गुप्तचर जिसके द्वारा वे अपनी प्रजा का वृत्तान्त जाना करते थे। इसी के मुँह से उन्होंने सीता का वह वृत्तान्त सुना था जिसके कारण सीता का द्वितीय वनवास हुआ था (उत्तररामचरित) । ; अन्य * राम की सेना का एक बन्दर । * महिषासुर का एक सेनापति * एक नाग का नाम * धृतराष्ट्र का एक पुत्र * गणेश जी का एक नाम * रावण की सेना का एक राक्षस (''दुर्मुख सुररिपु मनुज अहारी ।—मानस, ६/ ६१) श्रेणी:पौराणिक पात्र",Other Being,Controversial,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Non-Honorific
Hindi,चिंतपूर्णी,"चिंतपूर्णी धाम''' (Chintpurni) भारत के हिमाचल प्रदेश राज्य के ऊना ज़िले में एक महत्वपूर्ण हिन्दू तीर्थस्थल है। यह 51 शक्ति पीठो में से एक है। जम्मू की वैष्णो देवी, हिमाचल की ज्वाला देवी, विंध्याचल की विंध्यवासिनी और सहारनपुर की शाकम्भरी देवी की भांति यह भी एक सिद्ध स्थान है यहां पर माता सती के चरण गिर थे। इस स्थान पर प्रकृति का सुंदर दृश्य देखने को मिल जाता है। यात्रा मार्ग में बहुत सारे मनमोहक दृश्य यात्रियों का मन मोह लेते हैं और उनपर एक अमिट छाप छोड़ देते हैं। यहां पर आकर माता के भक्तों को आध्यात्मिक आनन्द की प्राप्ति होती है। वर्तमान में उत्तर भारत की नौ देवी यात्रा में चिंतपूर्णी का पांचवा दर्शन होता है वैष्णो देवी से आरम्भ होने वाली नौ देवी यात्रा में माँ चामुण्डा देवी, माँ वज्रेश्वरी देवी, माँ ज्वाला देवी, माँ चिन्तपुर्णी देवी, माँ नयना देवी, माँ मनसा देवी, माँ कालिका देवी, माँ शाकम्भरी देवी सहारनपुर आदि सम्मिलित हैं। इन नौ दरबारों में चिंतपूर्णी, वैष्णव देवी, शाकंभरी देवी और ज्वाला देवी अत्यधिक प्रसिद्ध है।"", State Development Report Series, Planning Commission of India, Academic Foundation, 2005, ISBN 9788171884452"","" RK Thukral, Datanet India Pvt Ltd, 2017, ISBN 9789380590448",Deity,Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Honorific
Hindi,भौमासुर,एक दैत्य का नाम जिसका प्रसंग पुराण में आता है। श्रेणी:श्रीमद्भागवत श्रेणी:पौराणिक कथाएँ श्रेणी:महाभारत श्रेणी:महाभारत के पात्र,Other Being,In Famous,Not Applicable,Male,Mythological,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,तगालोग भाषा,"thumb|260px|right|फ़िलीपीन्स|फ़िलिपीन्ज़ का राष्ट्रीयचिह्न, जिसमें राष्ट्रीय सूत्रवाक्य भी लिखा है। शब्द - ""माका-दियोस, माका-ताओ, माकाकलीकासान एत माकाबंसा"" (भगवान के लिए, जनता के लिए, प्रकृति के लिये और देश के लिए; इस में ""बंसा"" शब्द संस्कृत के ""वंश"" शब्द का रूप है।"","" Jean-Paul G. Potet, Lulu.com, 2016, ISBN 9781326615796, ''... bansâ: bansâq=nation - Sans. vansa वंश ...'' '''तगालोग''' दक्षिणपूर्वी एशिया के फ़िलिपीन्ज़ देश में बोली जाने वाली ऑस्ट्रोनीशियाई भाषा परिवार की मलय-पोलेनीशियाई शाखा की एक भाषा है। इसे फ़िलिपीन्ज़ के २५% लोग मातृभाषा के रूप में और उस देश के अधिकांश लोग द्वितीय भाषा के रूप में बोलते हैं, जो कि फ़िलिपीन्ज़ की किसी भी अन्य भाषा से अधिक है। अंग्रेज़ी के साथ-साथ, तगालोग को फ़िलिपीन्ज़ की राजभाषा होने का दर्जा प्राप्त है।",Other Being,Famous,Not Applicable,Gender Neutral/Non-Specific,Others,Native,Real,Not Applicable,Modern,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Hindi,नूपुर शर्मा,"नुपुर शर्मा''' (जन्म 23 अप्रैल 1985) एक भारतीय राजनीतिज्ञ और वकील हैं। वह जून 2022 तक भारतीय जनता पार्टी (भाजपा) की राष्ट्रीय प्रवक्ता थीं। तेजतर्रार और स्पष्टवादी मानी जाने वाली नुपुर शर्मा ने आधिकारिक प्रवक्ता के रूप में अक्सर भारतीय टेलीविजन बहसों में भाजपा का प्रतिनिधित्व किया। जून 2022 में, इस्लामी पैग़म्बर मुहम्मद और उनकी तीसरी पत्नी, आयशा की उम्र के बारे में टिप्पणी के कारण उन्हें पार्टी से निलम्बित कर दिया गया था।",Human,Controversial,Adult,Female,Politics and Governance,Native,Real,Alive,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
Hindi,सैयद मीर निसार अली तितुमीर,"सैयद मीर निसार अली''' (२७ जनवरी १७८२ -१९ नवंबर १८३१), जिसे '''तितुमीर''' ( ) के नाम से जाना जाता है। वह एक बंगाली मुस्लिम इस्लामी लड़ाका था। जिसने १९ वीं शताब्दी के दौरान भारत में हिन्दुओं के खिलाफ एक अभियान का नेतृत्व दिया था। अंंत में उन्होंने नारिकेल्बेरिया गाँव में एक बड़ा बाँस का किला (बंगाली में ''बाशेरकेल्ला'' ) बनवाया, जो इस्लामी बांग्ला लोक कथाओं में मशहूर हुआ। ब्रिटिश सैनिकों द्वारा किले के ध्वस्त करने के बाद, १९ नवंबर १८२१ में तितुमीर युद्धावस्था में अपने साथियों के साथ मारा गया।",Human,Controversial,Adult,Male,In Famous/Controversial Activists,Native,Real,Dead,Modern,Singular,Non-Honorific,Honorific,Non-Honorific
