Language,Article_Title,Article_Text,Entity,Fame,Age Group,Gender,Role,Origin of Culture,Existence Type,Life Status,Era,Count,Pronoun/Verb in Wiki Article,Pronoun/Verb in Written Setting,Pronoun/Verb in Spoken Setting
Bengali,রাহু,"রাহু''' (প্রতীক: ), হিন্দু জ্যোতিষশাস্ত্র অনুসারে স্বরভানু নামক এক অসুরের কর্তিত মুন্ড, যে গ্রহণের সময় সূর্য বা চন্দ্রকে গ্রাস করে। একে আটটি শ্যামবর্ণ ঘোড়ায় টানা রথে আরূঢ় স্কন্ধহীন সর্পরূপে চিত্রিত করা হয়। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। দিবাভাগে রাহুকাল নামক মুহূর্তকে (২৪ মিনিট) অশুভ বলে গণ্য করা হয়। thumb|Rahu: Head of Demon Snake, Konark|Konarak Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,অলক্ষ্মী,অলক্ষ্মী''' একজন হিন্দু দেবী। তিনি লক্ষ্মীর ছায়া এবং দুর্ভাগ্যের দেবী। অলক্ষ্মী কল্কি পুরাণ ও মহাভারত কথিত দৈত্য কলির দ্বিতীয়া স্ত্রী।,Deity,In Famous,Not Applicable,Female,Religion and Spirituality,Native,Mythological,Not Applicable,Historical,Singular,Honorific,Honorific,Non-Honorific
Bengali,জগন্নাথ রৌত,"জগন্নাথ রৌত''' (১৩ নভেম্বর ১৯৪২ – ২৪ জানুয়ারি ২০২০) ভারতের ওড়িশার একজন রাজনীতিবিদ ছিলেন যিনি ভারতীয় জাতীয় কংগ্রেসের রাজনীতির সাথে যুক্ত ছিলেন। তিনি ওড়িশা বিধানসভার একজন বিধায়ক ছিলেন। এছাড়া, তিনি ওড়িশা সরকারের একজন মন্ত্রী হিসেবেও দায়িত্ব পালন করেছিলেন।",Human,Famous,Old,Male,Politics and Governance,Native,Real,Dead,Modern,Singular,Honorific,Honorific,Non-Honorific
Bengali,বৃত্র,"বৃত্র''' (সংস্কৃত: वृत्र) হল হিন্দুধর্মে বৈদিক সর্প, দানব, খরা, অশুভ ও বিশৃঙ্খলা এবং ইন্দ্রের প্রতিপক্ষ। বৃত্রকে অসুর হিসেবে চিহ্নিত করা হয়। বৃত্রের অপর নাম অহি বা সর্প।ঋগ্বেদ বঙ্গানুবাদ, রমেশচন্দ্র দত্ত । ১ম খণ্ড পৃঃ ৭৩, ১।৩২।১ ঋকের টিকা। অহি ষোলো পাকে ইন্দ্রকে আবৃত করেছিল। বৃষ্টিপাতে বাদাসৃষ্টিকারী কুণ্ডলীকৃত সর্পাকার মেঘ দেখে ঋষিগণ অহি বা সর্প কল্পনা করেছিলেন যা সূর্যকে আবেষ্ঠিত করেছিল। ইন্দ্র বৃত্রকে হত্যা করেন। বৃত্রবধের ফলে বৃষ্টিধারা পতিত হয়ে সমুদ্রাভিমুখী হয়।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,মীর কাসেম আলী,"মীর কাসেম আলী''' (৩১ ডিসেম্বর ১৯৫২ - ৩ সেপ্টেম্বর ২০১৬) ছিলেন বাংলাদেশের একজন ব্যবসায়ী, রাজনীতিবিদ, বাংলাদেশ ইসলামী ছাত্রশিবির এর প্রথম কেন্দ্রীয় সভাপতি এবং জামায়াতে ইসলামী বাংলাদেশের অন্যতম নেতা। ২০১৪ সালের ০২ ডিসেম্বর বাংলাদেশের স্বাধীনতা যুদ্ধে মানবতা বিরোধী অপরাধের জন্য আন্তর্জাতিক অপরাধ ট্রাইবুনাল তাকে মৃত্যুদণ্ড প্রদান করে। ২০১৬ সালের ০৩ সেপ্টেম্বর কাশিমপুর কেন্দ্রীয় কারাগারের ফাঁসিকাষ্ঠে ঝুলিয়ে তার মৃত্যুদণ্ড কার্যকর করা হয়।",Human,Controversial,Old,Male,In Famous/Controversial Activists,Native,Real,Dead,Modern,Singular,Honorific,Honorific,Non-Honorific
Bengali,হরিদাস পাল,"হরিদাস পাল''' হল 'পাল' উপাধির একটি বাঙালি হিন্দু ব্যক্তির নাম। কথিত আছে, এই নামের ব্যক্তি একসময় বাংলায় ধনী, মহানুভব এবং উচ্চ মহিমায় প্রভাবশালী ব্যক্তিদের অন্যতম ছিলেন। বিপুল বিত্তশালী হয়েও সৎ ও দয়াবান ব্যক্তি হিসাবে মহৎ চিন্তাভাবনা ও কর্মের জন্য সমাজে অত্যন্ত সমাদর ও গরিমা অর্জনকারী ব্যক্তিকে হরিদাস পাল উল্লেখ করা হত। বর্তমানে বাংলা ভাষায় নামটি বহুল প্রচলিত 'প্রবাদ কথন' বা বাংলা বাগধারায় পরিণত। কোন অযোগ্য ব্যক্তিকে উদ্দেশ্য করতে, ঈর্ষা বশত হেয় প্রতিপন্ন করতে, বস্তুতপক্ষে তুচ্ছতাচ্ছিল্যের সঙ্গে অবজ্ঞাসূচক বাক্যবন্ধে শ্লেষাত্মক ধ্বনিতে ব্যক্ত করতে প্রয়োগ হয় এভাবে - ""তুমি কোন হরিদাস পাল হে ?"" কিংবা দ্বিতীয় কোন ব্যক্তিকে উদ্দেশ্য করতে- ""কে তুমি হরিদাস পাল?"" নামক এক সম্মোধনে। এর মধ্যে সামনের ব্যক্তিকে তুচ্ছ করলেও, কিন্তু সর্বজন শ্রদ্ধেয় সেই ""হরিদাস পাল"" কে তার অসামান্য ক্ষমতার প্রতি অলক্ষ্যে প্রকৃতপক্ষে শ্রদ্ধা নিবেদনই করা হয়। বাংলায় গত পাঁচ-ছয় দশক ধরে কোন মানুষকে ইচ্ছাকৃতভাবে অযোগ্য ও তুচ্ছ করতে দ্বিধাহীনভাবে বাঙালি ব্যবহার করছে ""হরিদাস পাল "" নামটিকে। আর ঠিক সেকারণে পাল উপাধিধারী কোন পরিবারে নবজাতকের নাম ""হরিদাস"" রাখাই হয় না।",Human,Famous,Not Applicable,Gender Neutral/Non-Specific,Others,Native,Real,Not Applicable,Modern,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,স্বরভানু,"স্বরভানু''' (, ) হল একজন অসুর যাকে ঐতিহ্যগতভাবে বৈদিক পুরাণে সূর্যগ্রহণের জন্য আরোপিত করা হয়। নামটি পৌরাণিক কাহিনীতে অসুর রাহু ও কেতুর বৈশিষ্ট্য হিসাবেও ব্যবহৃত হয়, যারা সূর্যগ্রহণ ও চন্দ্রগ্রহণের সাথেও যুক্ত।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,রাহু,"রাহু''' (প্রতীক: ), হিন্দু জ্যোতিষশাস্ত্র অনুসারে স্বরভানু নামক এক অসুরের কর্তিত মুন্ড, যে গ্রহণের সময় সূর্য বা চন্দ্রকে গ্রাস করে। একে আটটি শ্যামবর্ণ ঘোড়ায় টানা রথে আরূঢ় স্কন্ধহীন সর্পরূপে চিত্রিত করা হয়। বৈদিক জ্যোতিষশাস্ত্রে, একে নবগ্রহের মধ্যে একটি স্থান দেওয়া হয়েছে। দিবাভাগে রাহুকাল নামক মুহূর্তকে (২৪ মিনিট) অশুভ বলে গণ্য করা হয়। thumb|Rahu: Head of Demon Snake, Konark|Konarak Idol, British Museum",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,বুধোদা,"বুধোদা''' বাংলা সাহিত্যের একটি কাল্পনিক চরিত্র। এই চরিত্রটির স্রষ্টা বাঙালি লেখক সৈকত মুখোপাধ্যায়। বুধোদার প্রথম আবির্ভাব কিশোর ভারতী পত্রিকায় ''অর্কিড রহস্য'' উপন্যাসে, ২০১৭ সালে।",Human,Famous,Not Applicable,Gender Neutral/Non-Specific,Literature and Philosophy,Native,Fictional,Not Applicable,Modern,Singular,Non-Honorific,Non-Honorific,Non-Honorific
Bengali,স্বরভানু,"স্বরভানু''' (, ) হল একজন অসুর যাকে ঐতিহ্যগতভাবে বৈদিক পুরাণে সূর্যগ্রহণের জন্য আরোপিত করা হয়। নামটি পৌরাণিক কাহিনীতে অসুর রাহু ও কেতুর বৈশিষ্ট্য হিসাবেও ব্যবহৃত হয়, যারা সূর্যগ্রহণ ও চন্দ্রগ্রহণের সাথেও যুক্ত।",Other Being,In Famous,Not Applicable,Gender Neutral/Non-Specific,Deity,Native,Mythological,Not Applicable,Historical,Singular,Non-Honorific,Non-Honorific,Non-Honorific
